,namespace,Semana,Número de AAs por turma
662,escolamaster,25,0.7
663,escolamaster,26,0.3
664,escolamaster,31,0.6
665,escolamaster,33,0.6923076923076923
666,escolamaster,36,1.0
667,escolamaster,37,3.0
668,escprogressiva,37,3.0
669,esperanza,34,1.0
670,estantemagica,27,1.0
671,faculdadeflamingo,30,2.0
672,faculdadeflamingo,31,2.0
673,faculdadeflamingo,32,1.0
674,faculdadeflamingo,33,1.0
675,faculdadeflamingo,34,1.6
676,faculdadeflamingo,35,1.0
677,faculdadeflamingo,36,1.0
678,fleming,31,1.0
679,fleming,33,1.0
680,forumcultural,37,1.0
681,francobrasileiro,28,2.5
682,francobrasileiro,30,1.0
683,fundacaobradesco,29,1.0
684,galois,28,1.0
685,garra,30,2.0
686,garra,31,1.0
687,garra,36,1.0
688,garra,37,1.0
689,gerabixo,33,1.0
690,gerabixo,36,1.0
691,idaam,33,0.25
692,idaam,34,0.25
693,implantacao,26,3.0
694,implantacao,37,0.4
695,insa,33,0.6666666666666666
696,insa,34,2.0
697,insa,36,5.0
698,institutoauxiliadoradf,34,3.0
699,institutocristao,25,3.5
700,institutocristao,26,3.25
701,institutocristao,32,1.0
702,institutocristao,34,2.0
703,institutoeurofarma,32,0.2
704,institutoeurofarma,36,0.5
705,institutoeurofarma,37,0.5
706,institutosaojose,33,1.1428571428571428
707,institutosaojose,34,0.5
708,integra,25,2.0
709,integra,34,2.0
710,integradaeducativa,25,2.7333333333333334
711,integradaeducativa,26,1.1666666666666667
712,integradaeducativa,27,0.4
713,integradaeducativa,29,1.0
714,integradaeducativa,30,0.5333333333333333
715,integradaeducativa,31,1.5
716,integradaeducativa,32,1.0
717,integradaeducativa,33,1.0
718,integradaeducativa,34,1.0
719,integradaeducativa,35,1.0
720,invictus,25,1.25
721,invictus,26,1.1428571428571428
722,invictus,27,1.0
723,invictus,28,2.8
724,invictus,32,1.2857142857142858
725,invictus,33,2.7142857142857144
726,invictus,34,1.75
727,invictus,35,2.875
728,invictus,36,1.8
729,invictus,37,3.3333333333333335
730,iracemarufino,31,1.0
731,isem,25,1.0625
732,isem,26,3.0
733,isem,27,7.833333333333333
734,isem,28,1.7142857142857142
735,isem,30,3.5
736,isem,31,1.0
737,isem,32,1.8571428571428572
738,isem,34,1.0
739,isem,35,9.5
740,isem,36,1.0
741,ismart,37,2.0
742,itamarati,25,1.0
743,itamarati,34,1.0
744,jazzvestibular,35,0.5
745,jazzvestibular,36,0.5
746,jazzvestibular,37,0.5
747,joaobelem,25,1.0
748,lasalleaguasclaras,34,0.8181818181818182
749,liessinbarra,25,1.0
