,namespace,Semana,Porcentagem de engajamento em AAs
372,colegioflamingo,26,0.6492103075644223
1010,portinari,37,0.6491811539430588
1233,villalobos,33,0.6476654253795474
165,casdinhosjc,27,0.6470588235294118
1019,porto,35,0.6457580089128059
774,mariliamattoso,32,0.6431468961278427
386,colegiofuturageracao,37,0.6428571428571429
55,acessohauer,25,0.6410701876302988
127,amadeus,34,0.6394569632998854
522,contemporaneocidadeverde,36,0.6388888888888888
100,adrianochan,25,0.6367924528301887
954,physicsconselheirofurtado,37,0.6361477002807169
508,colsantacatarinape,37,0.6351803644477501
780,master,25,0.6345168464128609
881,overmossoro,36,0.6287878787878788
1195,stellamarisxaxim,33,0.6264731558271497
1091,psantagema,34,0.6258503401360545
896,overpontanegra,36,0.6251728907330567
1017,porto,33,0.6245888801879405
732,isem,31,0.6223506743737958
13,acessoboqueirao,27,0.6220167437211046
537,crb,26,0.6090764331210191
795,minhalista,25,0.6041666666666666
633,elitecuritibaemilianoperneta,25,0.6032608695652174
332,colegioeag,35,0.6032064128256514
108,adrianochan,37,0.6027088036117382
1232,villalobos,32,0.6008215752813002
966,physicsumarizal,36,0.6001672133256158
507,colegioup,37,0.6
1112,sagradafamilia,34,0.5950951267302952
1036,prismapatrocinio,34,0.5936859368593685
350,colegioecursoprogressao,36,0.5926395939086294
1216,universobarcarena,25,0.5876625920702084
318,colegiodasamericas,26,0.5870967741935483
251,colegioalphaunis,26,0.5834284627092846
244,cnslpb,33,0.5833333333333334
1073,progressaoig,36,0.5833333333333334
1197,stellamarisxaxim,35,0.583180987202925
641,elitecuritibaemilianoperneta,34,0.5831202046035806
759,maplebearslz,30,0.5830618892508144
779,mariliamattoso,37,0.5829596412556054
101,adrianochan,26,0.5827067669172933
331,colegioeag,34,0.5824175824175825
500,colegioup,26,0.581537374451118
839,overabelcabral,34,0.5801623185149821
635,elitecuritibaemilianoperneta,27,0.5797101449275363
1116,santamariacn,26,0.5792349726775956
456,colegioplanck,33,0.5790295901488697
329,colegioeag,30,0.5789473684210527
1211,universitariolondrina,33,0.5785233835751514
664,escolamaster,36,0.5763888888888888
1227,villalobos,25,0.575353871773522
94,acessosjpinhais,32,0.5744587478057344
424,colegiojoaopaulo,26,0.5743630573248407
553,crescercampinas,35,0.5727061714909886
457,colegioplanck,34,0.5711763407636283
183,cats,37,0.5681818181818182
453,colegioplanck,30,0.5663545366483694
600,dommga,25,0.5628277335404933
1212,universitariolondrina,34,0.5623134690931301
1171,spdacruz,37,0.5613682092555332
24,acessocampolargo,25,0.5605190174326465
1213,universitariolondrina,35,0.5595750206054037
1013,porto,27,0.5588235294117647
773,mariliamattoso,31,0.5582706766917294
808,novotempo,33,0.5576923076923077
650,escolaceciliameireles,28,0.5555555555555556
489,colegiouirapuru,32,0.5553168635875403
167,casdinhosjc,33,0.5529411764705883
1055,progressaodc,28,0.5514705882352942
1114,santadoroteia,34,0.5510670731707317
6,acessoalmirantetamandare,33,0.550427793621986
540,crb,32,0.5500547922739166
23,acessoboqueirao,37,0.5492944735687397
889,overpontanegra,28,0.5489690721649485
1121,santamariacn,31,0.5488771466314399
957,physicsmacapa,34,0.5476190476190477
1209,universitariolondrina,31,0.5445634436026845
555,crescercampinas,37,0.5432233859621698
455,colegioplanck,32,0.5420131918554632
1012,porto,26,0.5407678741012074
82,acessosantafelicidade,33,0.5398778769375293
2,acessoalmirantetamandare,27,0.5394152962672931
602,domus,34,0.5392156862745098
95,acessosjpinhais,33,0.5390711993187922
757,maplebearslz,25,0.535552536231884
228,ciadosaber,25,0.534446764091858
491,colegiouirapuru,34,0.5335866467634686
869,overmarciliofurtado,34,0.5317316409791478
430,colegiojoaopaulo,32,0.531711114119399
788,master,33,0.5314029634770282
1033,prismapatrocinio,31,0.5292259083728278
242,cnslpb,31,0.5284816980723414
946,physicscidadenova,37,0.5281762295081968
830,overabelcabral,25,0.5281488158649512
116,aescobjetivo,33,0.5269204865100432
583,cursosazambuja,28,0.5263157894736842
164,casdinhosjc,25,0.525231719876416
933,physicsbatistacampos,25,0.5232856618995233
1234,villalobos,34,0.5231010180109632
50,acessofazendariogrande,33,0.5228750396447828
156,brasilcursinhos,28,0.5206896551724138
702,institutosaojose,33,0.5203985711599924
1138,santoamerico,36,0.520081490104773
19,acessoboqueirao,33,0.5198772648883514
739,itamarati,34,0.5176470588235295
338,colegioecursodesafio,36,0.5173736388753454
250,colegioalphaunis,25,0.516522071957132
744,lasalleaguasclaras,34,0.516425176770604
950,physicsconselheirofurtado,32,0.515286124902012
27,acessocampolargo,30,0.5144076840981857
1100,qescola,31,0.5142613878246062
306,colegiocb,26,0.5140562248995983
166,casdinhosjc,31,0.5137254901960784
809,novotempo,34,0.5128205128205128
30,acessocampolargo,33,0.5124781632143749
527,contemporaneolagoanova,33,0.5100272585669782
949,physicsconselheirofurtado,31,0.5092936802973977
784,master,29,0.5087782805429865
1,acessoalmirantetamandare,26,0.50661853188929
694,institutoauxiliadoradf,34,0.5064233848445354
1177,stellamarisaguaverde,37,0.5057603686635944
1007,portinari,34,0.5055944752481822
731,isem,30,0.5049975421923644
1186,stellamarisjuveve,35,0.5030121442004272
1006,portinari,33,0.5019840596913685
53,acessofazendariogrande,36,0.5013550135501355
88,acessosjpinhais,26,0.5000254777070063
1148,seletivoeducallis,32,0.5
1024,positivoon,28,0.5
133,amaisteste,28,0.5
1031,prismapatrocinio,28,0.4989016668820261
959,physicsmacapa,36,0.49639607704123834
67,acessopinhais,26,0.4959770114942529
617,eccos,37,0.49504950495049505
666,escprogressiva,37,0.49502487562189057
1079,provaspoliedro,30,0.4935507348927481
77,acessosantafelicidade,26,0.49339357258545735
97,acessosjpinhais,35,0.49283470327494944
115,aescobjetivo,32,0.49163924219514366
45,acessofazendariogrande,26,0.4911349731552004
1151,simuladoita,26,0.48948933374822806
425,colegiojoaopaulo,27,0.4893555394641564
454,colegioplanck,31,0.4878953107960742
78,acessosantafelicidade,27,0.4867907587111925
663,escolamaster,33,0.48259080874974913
72,acessopinhais,33,0.48173746909417847
931,physicsaugustomontenegro,36,0.4810463311904234
1136,santoamerico,34,0.4791111111111111
423,colegiojoaopaulo,25,0.4783583483838824
0,acessoalmirantetamandare,25,0.47632752914088355
775,mariliamattoso,33,0.47581801056554324
1205,universitariolondrina,27,0.47356602584305074
940,physicscidadenova,25,0.4722211936061223
87,acessosjpinhais,25,0.47170786879948295
868,overmarciliofurtado,33,0.4689205037988884
831,overabelcabral,26,0.4644159137739737
745,liessinbarra,25,0.4642857142857143
184,cbpdigital,25,0.46402877697841727
509,conexaosaber,25,0.4634523257610879
574,cursoisfera,36,0.4628393413440142
261,colegioarena,32,0.4620403321470937
11,acessoboqueirao,25,0.4608731071497029
626,educandarioterciocorreia,37,0.46
431,colegiojoaopaulo,33,0.45801021373179496
349,colegioecursoprogressao,35,0.45799011532125206
12,acessoboqueirao,26,0.45290515893694633
1196,stellamarisxaxim,34,0.4522673031026253
511,conexaosaber,33,0.4521497919556172
776,mariliamattoso,34,0.45135920670200036
929,physicsaugustomontenegro,34,0.45126353790613716
1135,santoamerico,33,0.450880626223092
592,deltaeducacional,25,0.4508130081300813
66,acessopinhais,25,0.4504895767530006
1204,universitariolondrina,26,0.44888782672579375
894,overpontanegra,34,0.448729792147806
1078,provaspoliedro,28,0.445365763773724
551,crescercampinas,33,0.4416372274333049
838,overabelcabral,33,0.4413375403474413
1032,prismapatrocinio,30,0.4397834912043302
46,acessofazendariogrande,27,0.4377229563382405
464,colegiopremium,33,0.43705094709340303
