,namespace,grade,numero_ex
609,litteratus,em 3a serie,63.5
610,macvest,outro,160.0
611,magister,ef 3o ano,41.0
612,magister,ef 4o ano,41.333333333333336
613,magister,ef 5o ano,41.0
614,magister,outro,42.5
615,maplebearslz,ef 2o ano,4.0
616,maplebearslz,ef 3o ano,10.25
617,maplebearslz,ef 4o ano,29.818181818181817
618,maplebearslz,ef 5o ano,17.333333333333332
619,maplebearslz,ef 6o ano,51.888888888888886
620,maplebearslz,ef 7o ano,61.5
621,maplebearslz,ef 8o ano,48.27272727272727
622,maplebearslz,ef 9o ano,50.36363636363637
623,maplebearslz,em 1a serie,162.0
624,maplebearslz,em 2a serie,177.5
625,maplebearslz,outro,30.0
626,mariliamattoso,ef 5o ano,194.0
627,mariliamattoso,ef 6o ano,218.5
628,mariliamattoso,ef 7o ano,247.5
629,mariliamattoso,ef 8o ano,265.0
630,mariliamattoso,ef 9o ano,234.5
631,mariliamattoso,em 1a serie,757.0
632,mariliamattoso,em 2a serie,700.0
633,mariliamattoso,em 3a serie,791.0
634,master,ef 1o ano,38.57142857142857
635,master,ef 2o ano,102.72727272727273
636,master,ef 3o ano,89.67391304347827
637,master,ef 4o ano,122.44680851063829
638,master,ef 5o ano,128.5
639,master,ef 6o ano,113.23076923076923
640,master,ef 7o ano,112.76
