,namespace,grade,Número de AAs por turma
462,contemporaneocidadeverde,ef 9o ano,13.5
463,contemporaneocidadeverde,em 1a serie,17.0
464,contemporaneocidadeverde,em 2a serie,8.5
465,contemporaneocidadeverde,em 3a serie,15.0
466,contemporaneolagoanova,ef 6o ano,6.666666666666667
467,contemporaneolagoanova,ef 7o ano,5.0
468,contemporaneolagoanova,ef 8o ano,6.5
469,contemporaneolagoanova,ef 9o ano,6.0
470,contemporaneolagoanova,em 1a serie,10.5
471,contemporaneolagoanova,em 2a serie,8.5
472,contemporaneolagoanova,em 3a serie,7.5
473,coopermundi,ef 6o ano,1.0
474,coopermundi,ef 7o ano,1.0
475,coopermundi,ef 8o ano,1.0
476,cotemig,em 1a serie,1.0
477,crb,ef 6o ano,7.5
478,crb,ef 7o ano,4.533333333333333
479,crb,ef 8o ano,3.3333333333333335
480,crb,ef 9o ano,3.869565217391304
481,crb,em 1a serie,10.5
482,crb,em 2a serie,7.375
483,crb,em 3a serie,11.0
484,crb,outro,0.8888888888888888
485,crescercampinas,ef 6o ano,5.0
486,crescercampinas,ef 7o ano,5.666666666666667
487,crescercampinas,ef 8o ano,5.6
488,crescercampinas,ef 9o ano,4.142857142857143
489,crescercampinas,em 1a serie,12.0
490,crescercampinas,em 2a serie,27.5
491,crescercampinas,em 3a serie,28.5
492,cursoenfase,outro,1.4
493,cursoisfera,outro,7.428571428571429
494,cursoleopoldo,em 3a serie,1.0
495,cursoleopoldo,outro,1.5
496,cursosazambuja,outro,0.58
497,dante,em 3a serie,0.3333333333333333
498,deltaeducacional,em 1a serie,1.6666666666666667
499,deltaeducacional,em 2a serie,2.0
500,deltaeducacional,em 3a serie,4.0
501,dommga,em 3a serie,2.0
502,domus,em 1a serie,2.0
503,domus,em 2a serie,2.0
504,domus,em 3a serie,2.0
505,eacorcovado,ef 8o ano,1.0
506,eacorcovado,em 1a serie,1.0
507,eacorcovado,em 2a serie,2.5
508,eacorcovado,em 3a serie,1.0
509,eacorcovado,outro,1.0
510,eccos,ef 3o ano,2.5
511,eccos,ef 4o ano,1.0
512,eccos,ef 5o ano,2.5
513,eccos,ef 6o ano,1.5555555555555556
514,eccos,ef 7o ano,3.5
515,eccos,ef 8o ano,4.25
516,eccos,ef 9o ano,3.5
517,educamais,ef 6o ano,1.0
518,educandarioterciocorreia,ef 3o ano,10.0
519,educandarioterciocorreia,ef 4o ano,10.0
520,educandarioterciocorreia,ef 5o ano,7.0
521,educandarioterciocorreia,ef 6o ano,13.0
522,educandarioterciocorreia,ef 7o ano,12.0
523,educandarioterciocorreia,ef 8o ano,18.0
524,educandarioterciocorreia,ef 9o ano,16.0
525,educarse,outro,5.0
526,einsteinassis,ef 6o ano,10.0
527,einsteinassis,ef 7o ano,9.0
528,einsteinassis,ef 8o ano,4.0
529,einsteinassis,ef 9o ano,8.0
530,einsteinassis,em 1a serie,3.0
531,einsteinassis,em 2a serie,3.0
532,einsteinassis,em 3a serie,3.0
533,elitecuritibaemilianoperneta,em 1a serie,28.0
534,elitecuritibaemilianoperneta,em 2a serie,28.0
535,elitecuritibaemilianoperneta,em 3a serie,6.5
536,elitecuritibaemilianoperneta,outro,11.0
537,eluneonline,em 1a serie,1.0
538,escola,ef 4o ano,1.0
539,escolaceciliameireles,ef 2o ano,5.0
540,escolaceciliameireles,ef 3o ano,1.0
541,escolaceciliameireles,ef 4o ano,17.0
542,escolaceciliameireles,ef 5o ano,17.0
543,escolaceciliameireles,ef 6o ano,11.0
544,escolamaster,em 1a serie,2.3333333333333335
545,escolamaster,em 2a serie,3.0
546,escolamaster,em 3a serie,1.6666666666666667
547,escprogressiva,em 1a serie,3.0
548,estantemagica,outro,1.0
549,faculdadeflamingo,outro,2.6666666666666665
550,francobrasileiro,em 3a serie,2.6666666666666665
551,gerabixo,outro,2.0
552,idaam,em 3a serie,0.5
553,implantacao,outro,3.0
554,insa,em 1a serie,6.0
555,insa,em 2a serie,5.0
556,insa,em 3a serie,16.0
557,institutoauxiliadoradf,em 1a serie,3.0
558,institutoauxiliadoradf,em 2a serie,3.0
559,institutoauxiliadoradf,em 3a serie,3.0
560,institutocristao,ef 6o ano,15.0
561,institutocristao,ef 7o ano,7.0
562,institutocristao,ef 9o ano,3.0
563,institutocristao,em 2a serie,4.0
564,institutocristao,em 3a serie,1.0
565,institutoeurofarma,outro,0.42857142857142855
566,institutosaojose,em 1a serie,1.5
567,institutosaojose,em 2a serie,1.0
568,institutosaojose,em 3a serie,1.5
569,integra,ef 1o ano,2.0
570,integra,ef 2o ano,2.0
571,integra,ef 3o ano,2.0
572,integra,ef 4o ano,2.0
573,integra,ef 5o ano,3.0
574,integra,ef 6o ano,2.0
575,integra,ef 7o ano,2.0
576,integra,ef 8o ano,2.0
577,integradaeducativa,ef 6o ano,2.0
578,integradaeducativa,ef 7o ano,2.0
579,integradaeducativa,ef 8o ano,1.9285714285714286
580,integradaeducativa,ef 9o ano,1.6
581,integradaeducativa,em 1a serie,1.25
582,integradaeducativa,em 2a serie,1.2352941176470589
583,integradaeducativa,em 3a serie,1.3636363636363635
584,invictus,ef 6o ano,13.0
585,invictus,ef 7o ano,20.0
586,invictus,ef 8o ano,22.0
587,invictus,ef 9o ano,18.0
588,invictus,em 1a serie,23.0
589,invictus,em 2a serie,25.0
590,invictus,em 3a serie,22.0
591,invictus,outro,2.0
592,iracemarufino,infantil iii,1.0
593,isem,ef 3o ano,1.25
594,isem,ef 4o ano,2.0
595,isem,ef 5o ano,1.25
596,isem,ef 6o ano,14.0
597,isem,ef 7o ano,12.0
598,isem,ef 8o ano,16.0
599,isem,ef 9o ano,17.0
600,itamarati,ef 8o ano,2.0
601,jazzvestibular,outro,1.5
602,joaobelem,ef 6o ano,1.0
603,joaobelem,ef 9o ano,1.0
604,lasalleaguasclaras,em 1a serie,0.75
605,lasalleaguasclaras,em 2a serie,1.0
606,lasalleaguasclaras,em 3a serie,0.75
607,liessinbarra,ef 8o ano,1.0
608,litteratus,ef 5o ano,1.0
609,litteratus,em 3a serie,1.5
610,macvest,outro,2.5
611,magister,ef 3o ano,3.3333333333333335
612,magister,ef 4o ano,3.0
613,magister,ef 5o ano,3.5
614,magister,outro,2.0
615,maplebearslz,ef 2o ano,1.0
616,maplebearslz,ef 3o ano,1.75
617,maplebearslz,ef 4o ano,3.6363636363636362
618,maplebearslz,ef 5o ano,2.3333333333333335
619,maplebearslz,ef 6o ano,5.222222222222222
620,maplebearslz,ef 7o ano,6.625
621,maplebearslz,ef 8o ano,5.0
622,maplebearslz,ef 9o ano,4.090909090909091
623,maplebearslz,em 1a serie,11.0
624,maplebearslz,em 2a serie,11.0
625,maplebearslz,outro,10.0
626,mariliamattoso,ef 5o ano,19.5
627,mariliamattoso,ef 6o ano,14.0
628,mariliamattoso,ef 7o ano,13.0
629,mariliamattoso,ef 8o ano,23.0
630,mariliamattoso,ef 9o ano,10.5
631,mariliamattoso,em 1a serie,37.0
632,mariliamattoso,em 2a serie,35.0
633,mariliamattoso,em 3a serie,27.0
634,master,ef 1o ano,0.42857142857142855
