,namespace,Semana,Porcentagem de engajamento em série de exercícios
923,universitariolondrina,35,0.11988181509652432
303,colegioecursoprogressao,32,0.11969480209823558
658,overmarciliofurtado,35,0.11904761904761904
556,integradaeducativa,30,0.11888691533451747
298,colegioecursoprogressao,27,0.1173421740754576
684,pesenglish,32,0.11428571428571428
919,universitariolondrina,31,0.11428448904326943
100,acessosjpinhais,36,0.1131547381047581
592,macvest,28,0.1130952380952381
177,cats,30,0.11178107606679036
124,alpha,33,0.11139019710448282
30,acessoboqueirao,35,0.11122994652406418
155,aridesa,35,0.1111111111111111
867,spdacruz,25,0.11048065307317788
136,amadeus,35,0.10955254428682334
831,psantagema,37,0.10897435897435898
856,santoamerico,34,0.10888958731233228
570,isem,30,0.10843373493975904
449,eacorcovado,37,0.10825358851674641
272,colegiodasamericas,36,0.10792580101180438
141,antoniomelo,32,0.10737704918032787
858,santoamerico,36,0.10695798319327732
35,acessocampolargo,26,0.10683760683760683
604,mariliamattoso,32,0.1067463706233988
426,cursosazambuja,24,0.10629048755540402
369,colegiointegral,36,0.1061353398123802
432,cursosazambuja,31,0.10407239819004525
915,universitariolondrina,27,0.10366733159429185
946,villalobos,32,0.10341045704764516
148,apogeustoantonio2,28,0.10251322751322751
345,colegioguilhermedealmeida,35,0.1022149302707137
217,ceprimeiromundo,28,0.10173697270471464
22,acessoboqueirao,26,0.10161360662887048
357,colegioiguatemy,37,0.10144927536231885
869,spdacruz,32,0.10134304328036793
914,universitariolondrina,26,0.10130662158532538
65,acessohauer,37,0.10126582278481013
503,francobrasileiro,26,0.10016025641025642
924,universitariolondrina,36,0.09982716090816035
921,universitariolondrina,33,0.09907662148163825
400,colegiouirapuru,24,0.09897959183673469
137,amadeus,36,0.09712244925778002
949,villalobos,35,0.09694356549254146
746,physicsmacapa,35,0.09689383402874363
812,progressaodc,36,0.09634015069967707
925,universitariolondrina,37,0.09611923509561304
273,colegiodasamericas,37,0.09594787575865762
660,overmarciliofurtado,37,0.09523809523809523
933,valdemiracoelho,31,0.09482758620689655
847,santamariacn,35,0.09442724458204334
643,overabelcabral,35,0.09408450704225352
855,santoamerico,33,0.0930090631050254
868,spdacruz,31,0.09222325293753865
404,colegiouirapuru,31,0.09207459207459208
659,overmarciliofurtado,36,0.09175738724727839
306,colegioecursoprogressao,35,0.09174809989142237
380,colegiojoaopaulo,35,0.09120521172638436
617,moaciralves,36,0.09111111111111111
